index,sequence,robotz,exposure,blur
0053,1,1032,30,687
0053,2,1222,30,793
0053,3,1420,30,710
0054,0,815,30,657
0054,1,1001,30,572
0054,2,1202,30,705
0054,3,1422,30,751
0055,0,844,30,680
0055,1,1023,30,882
0055,2,1217,30,973
0056,0,830,30,723
0056,1,1013,30,557
0056,2,1210,30,506
0056,3,1403,30,431
0057,0,832,30,824
0057,1,1014,30,671
0057,2,1211,30,832
0057,3,1405,30,843
0058,0,830,30,670
0058,1,1013,30,463
0058,2,1210,30,458
0058,3,1424,30,1635
0058,4,1615,30,1127
0059,0,809,30,651
0059,1,1036,30,338
0059,2,1224,30,224
0059,3,1409,30,256
0059,4,1602,30,656
0060,0,835,35,630
0060,1,1016,35,641
0060,2,1212,35,770
0060,3,1432,35,739
0061,0,839,35,673
0061,1,1019,35,456
0061,2,1214,35,535
0061,3,1418,35,569
0062,0,890,35,624
0062,1,1060,35,524
0062,2,1215,35,571
0062,3,1402,35,287
0062,4,1624,35,647
0063,0,828,35,593
0063,1,1011,35,421
0063,2,1209,35,237
0063,3,1424,35,1019
0063,4,1604,35,568
0064,0,808,35,638
0064,1,1073,35,663
0064,2,1224,35,727
0065,0,807,35,674
0065,1,1035,35,566
0065,2,1223,35,831
0065,3,1402,35,623
0066,0,826,35,657
0066,1,1010,35,652
0066,2,1208,35,767
0066,3,1421,35,696
0067,0,887,35,638
0067,1,1019,35,511
0067,2,1214,35,382
0067,3,1402,35,397
0067,4,1628,35,650
0068,0,812,35,658
0068,1,1039,35,779
0068,2,1201,35,837
0069,0,815,35,654
0069,1,1001,35,548
0069,2,1203,35,400
0069,3,1415,35,535
0070,0,821,40,607
0070,1,1005,40,424
0070,2,1205,40,537
0070,3,1421,40,563
0071,0,834,40,658
0071,1,1016,40,634
0071,2,1212,40,517
0071,3,1407,40,426
0072,0,802,40,607
0072,1,1031,40,496
0072,2,1221,40,527
0072,3,1415,40,447
0073,0,814,40,527
0073,1,1040,40,536
0073,2,1202,40,579
0073,3,1416,40,576
0073,4,1642,40,654
0074,0,894,40,579
0074,1,1025,40,409
0074,2,1218,40,346
0074,3,1402,40,1410
0075,0,830,40,519
0075,1,1012,40,285
0075,2,1234,40,206
