index,exposure,result
7,4,36800.8
8,4,38121.1
9,4,43335.1
10,4,99246
11,4,83532.7
12,4,66319.1
13,4,54601.4
14,4,67177.9
15,4,75550.4
16,4,81179.4
17,4,78896.9
18,4,69160.9
19,4,73866.7
0,4,15505.1
1,4,12130.1
2,4,12558.9
3,4,14470.7
4,4,16230.1
5,4,12010.9
6,4,12854.4
7,4,14499.2
8,4,21135.9
9,4,19874.6
10,4,38871.3
11,4,38864.9
12,4,35348.5
13,4,35127.4
14,4,39050.8
15,4,40313.9
16,4,39086.6
17,4,42210.2
18,4,36870.4
19,4,33559.8
0,4,9765.61
1,4,16455.6
2,4,22770
3,4,53104.8
4,4,72942
5,4,56042.6
6,4,196921
7,4,131214
8,4,158089
9,4,224494
10,4,320202
11,4,354011
12,4,377776
13,4,409606
14,4,427801
15,4,392861
16,4,437579
17,4,456115
18,4,428921
19,4,370639
0,5,14560.4
1,5,18673.9
2,5,20532.6
3,5,21461.7
4,5,34267.5
5,5,35386
6,5,35158.1
7,5,42148.7
8,5,46561.4
9,5,39203.6
10,5,34404
11,5,30667.7
12,5,33330
13,5,33242.5
14,5,27056.2
15,5,28598.9
16,5,29642.5
17,5,28777.2
18,5,26803.4
19,5,27799.3
0,5,8519.28
1,5,11145.7
2,5,16734.7
3,5,26437.3
4,5,40996.8
5,5,40583
6,5,41456.3
7,5,55202.9
8,5,107471
9,5,86113.4
10,5,77142
11,5,56183.4
12,5,69762.6
13,5,63351.7
14,5,91642.4
15,5,88973.8
16,5,97856.9
17,5,74428.5
18,5,72607
19,5,61409.6
0,5,19534.5
1,5,47631.5
2,5,51717.9
3,5,43251.2
4,5,59877
5,5,78077.9
6,5,108968
7,5,174474
8,5,167243
9,5,195958
10,5,219657
11,5,62293.5
12,5,445760
13,5,68679.9
14,5,495400
15,5,135431
16,5,120363
17,5,97372.4
18,5,178978
19,5,79090.2
0,5,12111.6
1,5,8848.08
2,5,11952.8
3,5,11505.5
4,5,10997.2
5,5,24534.8
6,5,26883
7,5,18071.2
8,5,22844.5
9,5,16974
10,5,17008.2
11,5,19156
12,5,18682.7
13,5,20974.9
14,5,25790.8
15,5,25573.6
16,5,25472.7
17,5,28498.2
18,5,32232
19,5,37763.2
0,5,12630.4
1,5,7721.34
2,5,9441.2
3,5,20363.1
4,5,28576
5,5,10134.6
6,5,24766.9
7,5,14886.6
8,5,27573.3
9,5,36583.7
10,5,56904.2
11,5,14242.4
12,5,14528.1
13,5,52054.5
14,5,43497.5
15,5,38840.1
16,5,71364.2
17,5,82971.8
18,5,94883.3
19,5,78137.4
0,6,19606.9
1,6,34058.9
2,6,18960.3
3,6,29412.5
4,6,23197.6
5,6,26540.3
6,6,32670.3
7,6,55082.9
8,6,51351.7
9,6,52239.8
10,6,55896.9
11,6,106030
12,6,85731.1
13,6,125777
14,6,132683
15,6,136682
16,6,135039
17,6,124055
18,6,110461
19,6,96185.2
0,6,16198.1
1,6,15704.6
2,6,16624.9
3,6,15470.1
4,6,15838.9
5,6,20806.3
6,6,29779.5
7,6,37612
8,6,39924.5
9,6,41754.8
