index,sequence,robotz,exposure,result
47,1,1015,25,150
70,0,824,40,105
40,2,1209,25,354
38,2,1204,20,120
198,3,1417,100,3
224,3,1409,115,435
65,0,821,35,172
23,3,1408,15,0
72,3,1419,40,99
122,0,854,65,141
199,2,1215,100,515
106,1,1008,55,262
233,1,1030,120,380
194,3,1401,100,10
223,0,830,115,617
119,2,1203,60,338
44,3,1421,25,352
227,2,1215,115,675
106,0,826,55,184
265,0,848,135,441
133,2,1222,70,911
105,2,1220,55,157
194,0,850,100,294
44,0,824,25,75
25,1,1028,15,41
39,3,1404,20,122
199,1,1027,100,451
246,4,1605,125,692
55,2,1201,30,290
10,2,1206,10,66
12,4,1621,10,102
36,2,1204,20,263
127,3,1417,65,104
264,1,1010,135,410
45,1,1029,25,191
211,2,1212,110,48
47,2,1208,25,195
135,3,1410,70,874
39,2,1210,20,106
13,1,1031,10,53
227,0,850,115,358
177,2,1214,90,341
52,2,1244,30,257
156,2,1237,80,641
44,2,1202,25,189
27,3,1401,15,1
156,1,1026,80,376
143,0,851,75,392
43,3,1406,25,107
195,2,1232,100,943
37,0,842,20,78
32,4,1602,20,267
263,3,1420,135,422
215,2,1201,110,8
140,4,1605,75,165
135,2,1210,70,281
177,3,1415,90,547
38,0,829,20,75
76,0,820,40,135
178,1,1002,90,184
87,0,851,45,220
185,1,1021,95,156
55,0,822,30,157
99,0,801,50,185
219,3,1404,110,628
84,2,1201,45,283
171,3,1409,90,541
186,2,1214,95,39
241,0,824,125,383
9,1,1009,5,7
64,1,1022,35,219
175,1,1032,90,691
14,0,807,10,39
92,3,1402,50,115
192,4,1607,100,397
124,2,1227,65,131
111,3,1401,60,36
224,0,837,115,451
144,2,1218,75,220
135,1,1020,70,325
181,1,1007,95,454
232,3,1409,120,411
29,0,807,15,49
157,2,1216,80,489
61,2,1219,35,182
212,1,1002,110,543
81,3,1422,45,90
30,1,1026,20,104
228,3,1420,115,116
43,0,841,25,76
146,3,1403,75,415
252,2,1210,130,18
42,0,821,25,98
254,1,1011,130,361
89,1,1020,45,304
4,2,1218,5,39
90,2,1201,50,408
231,3,1424,120,838
103,1,1013,55,184
86,3,1408,45,87
247,2,1211,125,182
118,2,1202,60,638
136,2,1210,70,345
106,2,1203,55,641
211,0,845,110,245
178,3,1408,90,18
48,3,1432,25,145
83,0,815,45,251
217,1,1041,110,153
193,1,1024,100,577
190,3,1430,100,417
122,3,1421,65,289
27,0,822,15,77
195,3,1407,100,200
41,3,1405,25,54
207,3,1401,105,355
7,2,1222,5,78
139,2,1215,70,619
229,0,819,115,535
192,3,1423,100,344
80,2,1203,45,484
4,3,1424,5,80
66,2,1208,35,46
5,1,1021,5,26
77,0,818,40,114
22,1,1013,15,72
45,3,1411,25,180
75,2,1204,40,669
161,4,1604,85,324
36,4,1629,20,167
241,2,1202,125,115
59,2,1220,30,33
240,0,844,125,177
26,0,847,15,52
233,0,804,120,322
73,4,1603,40,60
123,1,1015,65,441
223,3,1430,115,1148
159,1,1038,80,567
195,0,840,100,283
224,2,1208,115,935
168,3,1412,85,480
238,2,1215,120,226
148,0,806,75,300
28,2,1212,15,214
32,2,1206,20,220
54,2,1207,30,281
147,2,1207,75,466
35,2,1215,20,262
34,0,877,20,74
162,0,806,85,345
153,3,1433,80,472
103,3,1406,55,350
24,1,1005,15,131
159,3,1420,80,872
69,0,828,35,123
110,3,1415,60,265
234,3,1416,120,736
191,0,831,100,194
115,3,1402,60,581
88,1,1027,45,146
117,3,1421,60,262
49,2,1207,25,150
244,2,1205,125,517
73,0,815,40,192
238,3,1433,120,586
225,1,1029,115,689
246,1,1015,125,614
21,3,1421,15,1
92,0,823,50,241
53,3,1420,30,159
221,1,1040,115,302
205,3,1408,105,397
244,0,829,125,505
57,0,817,30,150
209,1,1031,105,430
263,2,1223,135,306
119,1,1007,60,227
42,2,1201,25,242
9,3,1402,5,5
74,2,1207,40,191
128,1,1029,65,160
88,0,851,45,143
74,0,834,40,201
162,4,1613,85,268
204,2,1220,105,415
78,3,1410,40,997
149,3,1406,75,344
15,2,1204,10,79
109,0,847,55,91
121,0,810,65,227
173,0,843,90,202
134,2,1205,70,4
59,1,1036,30,33
181,0,825,95,377
94,1,1029,50,42
161,3,1417,85,368
31,3,1413,20,66
59,0,812,30,63
139,1,1027,70,544
143,1,1027,75,471
213,0,820,110,182
20,0,821,15,59
132,0,837,70,397
40,3,1401,25,30
104,1,1030,55,188
252,3,1406,130,10
126,3,1419,65,292
25,3,1409,15,97
36,0,827,20,81
183,1,1007,95,511
169,0,850,85,157
36,3,1410,20,170
134,1,1012,70,118
117,1,1014,60,178
26,2,1213,15,133
82,3,1424,45,266
72,0,822,40,133
54,3,1409,30,417
258,1,1034,130,867
62,3,1401,35,65
10,0,832,10,46
21,0,832,15,78
108,0,820,55,108
64,4,1604,35,216
184,1,1017,95,566
68,2,1212,35,422
22,0,833,15,36
37,3,1421,20,572
252,1,1019,130,450
205,2,1212,105,453
235,3,1420,120,402
10,3,1419,10,34
43,1,1020,25,72
90,0,821,50,239
17,2,1216,10,50
207,2,1221,105,486
49,1,1014,25,97
91,1,1012,50,317
49,0,835,25,83
164,1,1025,85,550
77,2,1223,40,389
201,3,1421,105,335
227,1,1027,115,431
46,1,1002,25,111
107,2,1203,55,264
21,2,1206,15,56
19,2,1233,10,70
225,2,1216,115,559
208,2,1223,105,212
173,2,1211,90,154
163,2,1224,85,38
51,1,1017,30,141
241,3,1406,125,17
29,1,1032,15,80
24,3,1401,15,155
56,1,1008,30,30
164,2,1214,85,445
130,1,1017,70,640
87,4,1619,45,547
33,2,1206,20,132
126,1,1031,65,263
79,0,826,40,242
35,0,898,20,122
206,2,1243,105,351
50,1,1019,30,118
12,1,1040,10,62
67,3,1419,35,284
259,1,1031,130,1036
202,2,1217,105,877
83,1,1038,45,655
160,0,835,85,473
154,3,1416,80,162
93,3,1407,50,348
