index,exposure,result
1306,261,115.955
1307,261,118.259
1308,261,116.746
1309,261,119.877
130,26,4.84244
1310,262,118.78
1311,262,117.852
1312,262,116.898
1313,262,118.582
1314,262,119.281
1315,263,123.016
1316,263,122.042
1317,263,120.736
1318,263,121.547
1319,263,119.931
131,26,4.77681
1320,264,118.319
1321,264,118.535
1322,264,122.157
1323,264,121.299
1324,264,120.346
1325,265,121.335
1326,265,120.446
1327,265,120.708
1328,265,121.159
1329,265,123.532
132,26,4.75258
1330,266,121.136
1331,266,121.73
1332,266,119.866
1333,266,123.579
1334,266,119.774
1335,267,120.764
1336,267,121.455
1337,267,120.822
1338,267,122.287
1339,267,119.492
133,26,4.84381
1340,268,122.077
1341,268,121.531
1342,268,122.365
1343,268,126.051
1344,268,121.097
1345,269,123.319
1346,269,122.193
1347,269,125.49
1348,269,123.792
1349,269,126.082
134,26,4.59164
1350,270,122.897
1351,270,123.705
1352,270,122.948
1353,270,124.801
1354,270,124.636
1355,271,123.062
1356,271,127.55
1357,271,123.065
1358,271,123.969
1359,271,122.702
135,27,5.15342
1360,272,128.885
1361,272,124.538
1362,272,130.529
1363,272,126.951
1364,272,124.708
1365,273,124.041
1366,273,125.673
1367,273,124.238
1368,273,128.471
1369,273,127.374
136,27,5.15275
1370,274,129.987
1371,274,126.515
1372,274,127.782
1373,274,126.435
1374,274,125.514
1375,275,126.245
1376,275,128.581
1377,275,125.552
1378,275,127.977
1379,275,127.596
137,27,5.2041
1380,276,131.111
1381,276,129.675
1382,276,125.806
1383,276,130.967
1384,276,127.852
1385,277,131.177
1386,277,128.472
1387,277,128.889
1388,277,125.52
1389,277,131.573
138,27,5.04218
1390,278,130.305
1391,278,132.51
1392,278,127.719
1393,278,128.819
1394,278,128.919
1395,279,127.934
1396,279,128.007
1397,279,128.934
1398,279,130.111
1399,279,127.143
139,27,4.98181
13,2,0.366771
1400,280,132.83
1401,280,130.229
1402,280,130.195
1403,280,128.495
1404,280,131.315
1405,281,128.208
1406,281,132.193
1407,281,129.682
1408,281,128.133
1409,281,130.727
140,28,5.38439
1410,282,133.745
1411,282,131.419
1412,282,132.069
1413,282,134.423
1414,282,127.578
1415,283,130.853
1416,283,127.847
1417,283,131.252
1418,283,131.606
1419,283,131.553
141,28,5.38366
1420,284,135.706
1421,284,129.853
1422,284,133.915
1423,284,134.474
1424,284,129.318
1425,285,137.612
1426,285,131.746
1427,285,133.083
1428,285,131.728
1429,285,134.555
142,28,5.42725
1430,286,132.73
1431,286,138.309
1432,286,135.974
1433,286,134.665
1434,286,135.666
1435,287,134.291
1436,287,138.13
1437,287,132.82
1438,287,135.434
1439,287,132.006
143,28,5.41106
1440,288,136.454
1441,288,135.368
1442,288,132.367
1443,288,135.043
1444,288,135.403
1445,289,139.83
1446,289,134.172
1447,289,135.793
1448,289,136.54
1449,289,135.733
144,28,5.31956
1450,290,133.651
1451,290,134.432
1452,290,135.953
1453,290,136.283
1454,290,134.571
1455,291,136.821
1456,291,137.686
1457,291,137.215
1458,291,134.164
1459,291,134.432
