sequence,index,robotz,exposure,result
12,17,1167,3,2633
12,18,1167,3,2684
12,19,1167,3,3243
13,0,805,3,1275
13,1,883,3,1245
13,2,919,3,1234
13,3,953,3,1184
13,4,984,3,1309
13,5,1012,3,1293
13,6,1038,3,1420
13,7,1062,3,1550
13,8,1083,3,1628
13,9,1102,3,1730
13,10,1119,3,1724
13,11,1133,3,1784
13,12,1144,3,1795
13,13,1154,3,1867
13,14,1160,3,1809
13,15,1165,3,1891
13,16,1167,3,1886
13,17,1167,3,1925
13,18,1167,3,1928
13,19,1167,3,1891
14,0,801,3,2719
14,1,841,3,2565
14,2,879,3,2680
14,3,915,3,2493
14,4,948,3,2633
14,5,1007,3,2699
14,6,1033,3,2916
14,7,1057,3,3014
14,8,1079,3,2996
14,9,1098,3,2746
14,10,1115,3,2412
14,11,1129,3,2383
14,12,1141,3,2353
14,13,1151,3,2244
14,14,1159,3,1937
14,15,1164,3,2530
14,16,1166,3,2544
14,17,1167,3,2562
14,18,1167,3,2996
14,19,1167,3,3207
15,0,836,4,2154
15,1,875,4,2119
15,2,912,4,2109
15,3,947,4,2121
15,4,978,4,2484
15,5,1008,4,2577
15,6,1035,4,2641
15,7,1059,4,2645
15,8,1101,4,2834
15,9,1118,4,2983
15,10,1132,4,2848
15,11,1144,4,3016
15,12,1154,4,2895
15,13,1161,4,3458
15,14,1165,4,3131
15,15,1167,4,3565
15,16,1167,4,3354
15,17,1167,4,3195
15,18,1167,4,3225
15,19,1167,4,3074
16,0,814,4,2414
16,1,853,4,3207
16,2,890,4,2981
16,3,956,4,2922
16,4,986,4,2912
16,5,1014,4,3278
16,6,1039,4,3199
16,7,1062,4,3571
16,8,1083,4,3554
16,9,1102,4,3836
16,10,1118,4,3909
16,11,1132,4,3953
16,12,1143,4,4062
16,13,1153,4,4213
16,14,1160,4,4067
16,15,1164,4,4225
16,16,1167,4,4590
16,17,1167,4,4249
16,18,1167,4,4226
16,19,1167,4,4142
17,0,814,4,2304
17,1,850,4,2367
17,2,885,4,2442
17,3,918,4,2302
17,4,949,4,2220
17,5,978,4,2430
17,6,1005,4,2578
17,7,1030,4,2762
17,8,1074,4,2540
17,9,1093,4,2751
17,10,1109,4,2670
17,11,1124,4,2414
17,12,1136,4,3048
17,13,1147,4,2652
17,14,1155,4,2711
17,15,1161,4,2684
17,16,1165,4,2982
17,17,1167,4,2538
17,18,1167,4,2602
17,19,1167,4,2569
18,0,811,4,2166
18,1,889,4,2279
18,2,924,4,2261
18,3,956,4,2163
18,4,987,4,2044
18,5,1015,4,1954
18,6,1041,4,2174
18,7,1064,4,2255
18,8,1085,4,2319
18,9,1103,4,2552
18,10,1120,4,2431
18,11,1133,4,2513
18,12,1145,4,2635
18,13,1154,4,2324
18,14,1161,4,2389
18,15,1165,4,2386
18,16,1167,4,2482
