sequence,index,robotz,exposure,result
60,7,1048,13,2147
60,8,1092,13,2269
60,9,1138,13,5710
60,10,1149,13,7315
60,11,1157,13,9639
60,12,1163,13,10919
60,13,1166,13,11023
60,14,1167,13,11814
60,15,1167,13,12113
60,16,1167,13,11888
60,17,1167,13,11617
60,18,1167,13,11400
60,19,1167,13,10587
61,0,827,13,11966
61,1,864,13,11669
61,2,899,13,12516
61,3,931,13,11768
61,4,962,13,11171
61,5,991,13,11041
61,6,1017,13,11048
61,7,1041,13,10652
61,8,1064,13,10369
61,9,1084,13,10033
61,10,1102,13,10509
61,11,1117,13,10100
61,12,1131,13,10496
61,13,1142,13,10795
61,14,1159,13,11280
61,15,1164,13,11934
61,16,1166,13,11779
61,17,1167,13,12045
61,18,1167,13,12866
61,19,1167,13,13514
62,0,836,13,10371
62,1,874,13,10945
62,2,909,13,10981
62,3,943,13,11093
62,4,974,13,12020
62,5,1003,13,12466
62,6,1029,13,12624
62,7,1054,13,13183
62,8,1095,13,13645
62,9,1112,13,13919
62,10,1127,13,13993
62,11,1140,13,14646
62,12,1150,13,14761
62,13,1158,13,14326
62,14,1163,13,14297
62,15,1166,13,13974
62,16,1167,13,14255
62,17,1167,13,14545
62,18,1167,13,13895
62,19,1167,13,13974
63,0,837,13,9774
63,1,876,13,11582
63,2,913,13,11775
63,3,948,13,11796
63,4,980,13,12407
63,5,1009,13,13909
63,6,1036,13,15628
63,7,1060,13,15461
63,8,1082,13,15636
63,9,1101,13,16717
63,10,1118,13,16695
63,11,1133,13,16257
63,12,1145,13,16257
63,13,1154,13,17442
63,14,1161,13,16855
63,15,1165,13,16656
63,16,1167,13,17048
63,17,1167,13,16479
63,18,1167,13,15949
63,19,1167,13,15644
64,0,803,13,7210
64,1,842,13,7914
64,2,879,13,8126
64,3,913,13,8171
64,4,946,13,7851
64,5,976,13,7938
64,6,1004,13,8080
64,7,1030,13,8742
64,8,1054,13,9540
64,9,1075,13,10196
64,10,1094,13,10901
64,11,1126,13,11200
64,12,1138,13,11836
64,13,1149,13,11785
64,14,1157,13,12518
64,15,1162,13,12837
64,16,1166,13,12413
64,17,1167,13,12399
64,18,1167,13,12686
64,19,1167,13,12788
65,0,838,14,4426
65,1,876,14,4494
65,2,912,14,4347
65,3,977,14,4330
65,4,1006,14,4148
65,5,1033,14,4410
65,6,1057,14,4748
65,7,1078,14,4971
65,8,1098,14,5568
65,9,1115,14,6297
65,10,1129,14,6658
65,11,1142,14,7397
65,12,1151,14,7941
65,13,1159,14,8464
65,14,1164,14,9008
65,15,1166,14,9399
65,16,1167,14,9668
65,17,1167,14,10004
65,18,1167,14,10296
65,19,1167,14,10858
66,0,803,14,4373
66,1,841,14,4189
66,2,876,14,4005
66,3,909,14,3816
66,4,970,14,3813
66,5,998,14,3805
66,6,1023,14,3608
66,7,1046,14,3332
66,8,1068,14,3273
66,9,1087,14,3264
66,10,1104,14,3183
66,11,1119,14,3205
66,12,1132,14,3019
66,13,1143,14,2926
66,14,1152,14,2846
66,15,1159,14,2770
66,16,1164,14,2807
66,17,1166,14,2805
66,18,1167,14,2892
66,19,1167,14,2982
67,0,811,14,11671
67,1,851,14,11944
67,2,889,14,12524
67,3,924,14,12463
67,4,957,14,12338
67,5,988,14,12194
67,6,1016,14,12805
67,7,1042,14,13926
67,8,1065,14,14145
67,9,1104,14,14387
67,10,1121,14,13972
67,11,1134,14,14366
67,12,1146,14,14503
67,13,1155,14,14842
67,14,1161,14,14746
67,15,1165,14,14605
67,16,1167,14,14767
67,17,1167,14,14782
67,18,1167,14,14740
67,19,1167,14,14593
68,0,806,14,9929
68,1,845,14,10055
68,2,882,14,10067
68,3,917,14,10363
68,4,949,14,10889
68,5,1007,14,11903
68,6,1033,14,11555
68,7,1056,14,11720
68,8,1077,14,12540
68,9,1096,14,12726
68,10,1113,14,12116
68,11,1128,14,12718
68,12,1140,14,12468
68,13,1150,14,12738
68,14,1158,14,12854
68,15,1163,14,13003
68,16,1166,14,13004
68,17,1167,14,13434
68,18,1167,14,13245
68,19,1167,14,12547
69,0,836,14,7650
69,1,875,14,7583
69,2,911,14,7658
69,3,945,14,7435
69,4,976,14,7029
69,5,1005,14,7617
69,6,1032,14,8187
69,7,1056,14,8613
69,8,1078,14,8858
69,9,1097,14,9111
69,10,1114,14,9422
69,11,1129,14,10089
69,12,1141,14,10433
69,13,1151,14,10979
69,14,1159,14,11883
69,15,1164,14,12352
69,16,1166,14,12769
69,17,1167,14,13291
69,18,1167,14,13714
69,19,1167,14,13638
70,0,808,15,5259
70,1,882,15,4470
70,2,916,15,4612
70,3,948,15,4930
70,4,978,15,5805
70,5,1006,15,6395
70,6,1031,15,6916
70,7,1055,15,7096
70,8,1076,15,7385
70,9,1095,15,7062
70,10,1112,15,6800
70,11,1126,15,6763
70,12,1138,15,6875
70,13,1149,15,7170
70,14,1156,15,7268
70,15,1162,15,7462
70,16,1165,15,7265
70,17,1167,15,7152
70,18,1167,15,6755
70,19,1167,15,6253
71,0,824,15,5754
71,1,864,15,6027
71,2,901,15,6705
71,3,936,15,7131
71,4,968,15,7975
71,5,998,15,8691
71,6,1026,15,9122
71,7,1051,15,10977
71,8,1074,15,11725
71,9,1094,15,12619
71,10,1112,15,12865
71,11,1127,15,14124
71,12,1140,15,14266
71,13,1150,15,14858
71,14,1158,15,14998
71,15,1163,15,15008
71,16,1167,15,14554
71,17,1167,15,14396
71,18,1167,15,14539
71,19,1167,15,14777
72,0,829,15,7254
72,1,868,15,7371
72,2,905,15,7994
72,3,940,15,8430
72,4,972,15,9390
72,5,1002,15,10183
72,6,1029,15,10579
72,7,1054,15,10784
72,8,1076,15,11721
72,9,1096,15,12102
72,10,1114,15,12036
72,11,1129,15,12575
72,12,1141,15,12262
72,13,1151,15,12602
72,14,1159,15,12311
72,15,1164,15,12223
72,16,1167,15,11783
72,17,1167,15,11695
72,18,1167,15,11561
72,19,1167,15,10987
73,0,803,15,5315
73,1,841,15,5226
73,2,878,15,4811
73,3,912,15,4339
73,4,944,15,4048
73,5,974,15,3840
73,6,1002,15,3812
73,7,1028,15,3790
73,8,1051,15,3891
73,9,1073,15,3968
73,10,1092,15,4156
73,11,1109,15,4239
73,12,1124,15,4397
73,13,1137,15,4776
73,14,1147,15,4981
73,15,1155,15,5218
73,16,1162,15,5411
73,17,1165,15,5343
73,18,1167,15,5511
73,19,1167,15,5603
74,0,811,15,9109
74,1,852,15,9398
74,2,891,15,9508
74,3,960,15,10578
74,4,991,15,11002
74,5,1020,15,12465
74,6,1046,15,13091
74,7,1069,15,14099
74,8,1090,15,14514
74,9,1109,15,14859
74,10,1125,15,15174
74,11,1138,15,15840
74,12,1149,15,15721
74,13,1157,15,16080
74,14,1163,15,16507
74,15,1166,15,16924
74,16,1167,15,16718
74,17,1167,15,16465
74,18,1167,15,16071
74,19,1167,15,16237
75,0,830,16,5969
75,1,869,16,6348
75,2,905,16,7378
75,3,940,16,7857
75,4,971,16,8787
75,5,1000,16,9612
75,6,1027,16,12270
75,7,1052,16,12924
75,8,1074,16,14149
75,9,1094,16,14808
75,10,1111,16,15424
75,11,1127,16,15816
75,12,1139,16,15761
75,13,1149,16,16163
75,14,1157,16,15962
75,15,1163,16,16461
75,16,1166,16,15680
75,17,1167,16,15202
75,18,1167,16,15621
75,19,1167,16,15326
76,0,801,16,3107
76,1,840,16,2974
76,2,877,16,2907
76,3,912,16,2723
76,4,944,16,2611
76,5,975,16,2630
76,6,1003,16,2633
76,7,1029,16,2602
76,8,1074,16,2582
76,9,1093,16,2504
76,10,1110,16,2451
76,11,1125,16,2313
76,12,1138,16,2148
76,13,1148,16,2025
76,14,1156,16,1954
76,15,1162,16,1752
76,16,1166,16,1623
76,17,1167,16,1479
76,18,1167,16,1358
76,19,1167,16,1242
77,0,804,16,8166
77,1,843,16,8062
77,2,881,16,8279
77,3,916,16,8109
77,4,949,16,7941
77,5,979,16,8523
77,6,1008,16,9186
77,7,1034,16,9871
77,8,1057,16,10618
77,9,1079,16,10600
77,10,1098,16,11261
77,11,1114,16,11308
77,12,1129,16,11540
77,13,1141,16,11487
77,14,1158,16,12573
77,15,1164,16,11942
77,16,1167,16,12309
77,17,1167,16,12368
77,18,1167,16,12182
77,19,1167,16,12240
78,0,816,16,4310
78,1,857,16,4233
78,2,895,16,3836
78,3,930,16,3523
78,4,963,16,3475
78,5,994,16,3974
78,6,1022,16,4243
78,7,1048,16,4550
78,8,1071,16,4721
78,9,1091,16,4883
78,10,1109,16,4948
78,11,1138,16,5312
78,12,1149,16,5459
78,13,1157,16,5374
78,14,1163,16,5543
78,15,1166,16,5356
78,16,1167,16,5304
78,17,1167,16,5136
78,18,1167,16,4878
78,19,1167,16,4756
79,0,831,16,7062
79,1,904,16,7006
79,2,937,16,7505
79,3,967,16,8435
79,4,996,16,9211
79,5,1022,16,9829
79,6,1046,16,10489
79,7,1068,16,11338
79,8,1088,16,12056
79,9,1106,16,11627
79,10,1121,16,12705
79,11,1134,16,12632
79,12,1145,16,13161
79,13,1154,16,13445
79,14,1160,16,14031
79,15,1165,16,13801
79,16,1167,16,13938
79,17,1167,16,13845
79,18,1167,16,13651
79,19,1167,16,13688
80,0,805,17,6763
80,1,846,17,6872
80,2,884,17,7117
80,3,920,17,6780
80,4,954,17,6615
80,5,985,17,6899
80,6,1013,17,7148
80,7,1040,17,7579
80,8,1063,17,7809
80,9,1085,17,8247
80,10,1104,17,8255
80,11,1120,17,8461
80,12,1134,17,8615
80,13,1145,17,8523
80,14,1161,17,8568
80,15,1165,17,8613
80,16,1167,17,8467
80,17,1167,17,8222
80,18,1167,17,8191
80,19,1167,17,7727
81,0,804,17,4825
81,1,845,17,5162
81,2,883,17,5213
81,3,919,17,4971
81,4,953,17,4983
81,5,984,17,5596
81,6,1012,17,6227
81,7,1038,17,6449
81,8,1062,17,7267
81,9,1084,17,7902
81,10,1119,17,8844
81,11,1133,17,10079
81,12,1145,17,11718
81,13,1154,17,13072
81,14,1160,17,13584
81,15,1165,17,12297
81,16,1167,17,11820
81,17,1167,17,11962
81,18,1167,17,11706
81,19,1167,17,12173
82,0,816,17,9945
82,1,856,17,10652
82,2,893,17,11351
82,3,928,17,11553
82,4,961,17,13142
82,5,991,17,13631
82,6,1019,17,14259
82,7,1045,17,14959
82,8,1068,17,14758
82,9,1089,17,15228
82,10,1107,17,15476
82,11,1123,17,15296
82,12,1136,17,15716
82,13,1147,17,15151
82,14,1162,17,14782
82,15,1166,17,14738
82,16,1167,17,14462
82,17,1167,17,14474
82,18,1167,17,14041
82,19,1167,17,14050
83,0,830,17,1505
83,1,868,17,2026
83,2,904,17,2816
83,3,938,17,3216
83,4,969,17,3674
83,5,998,17,4194
83,6,1025,17,4625
83,7,1050,17,5177
83,8,1072,17,5654
83,9,1092,17,6244
83,10,1109,17,6845
83,11,1124,17,7388
83,12,1137,17,8030
83,13,1148,17,8394
83,14,1156,17,8694
83,15,1162,17,8868
83,16,1167,17,9334
83,17,1167,17,9744
83,18,1167,17,9923
83,19,1167,17,10028
84,0,834,17,3427
84,1,873,17,3351
84,2,911,17,3416
84,3,946,17,3582
84,4,978,17,3955
84,5,1007,17,4070
84,6,1035,17,4043
84,7,1059,17,4065
84,8,1081,17,4466
84,9,1101,17,5661
84,10,1118,17,7567
84,11,1132,17,8876
84,12,1144,17,10215
84,13,1161,17,10482
84,14,1165,17,10698
84,15,1167,17,10822
84,16,1167,17,10967
84,17,1167,17,10787
84,18,1167,17,10960
84,19,1167,17,10729
85,0,830,18,9611
85,1,867,18,10168
85,2,902,18,9859
85,3,935,18,9946
85,4,965,18,9971
85,5,994,18,9868
85,6,1020,18,10069
85,7,1045,18,10303
85,8,1067,18,10519
85,9,1087,18,10540
85,10,1104,18,10921
85,11,1120,18,11193
85,12,1133,18,11159
85,13,1144,18,10910
85,14,1167,18,10469
85,15,1167,18,10334
85,16,1167,18,10670
85,17,1167,18,10732
85,18,1167,18,10457
85,19,1167,18,10630
86,0,839,18,2426
86,1,877,18,2203
86,2,912,18,1987
86,3,946,18,1903
86,4,977,18,1886
86,5,1005,18,1854
86,6,1056,18,1816
86,7,1077,18,1785
86,8,1097,18,1808
86,9,1114,18,1825
86,10,1128,18,1835
86,11,1141,18,1825
86,12,1151,18,1857
86,13,1158,18,1875
86,14,1163,18,1876
86,15,1166,18,1875
86,16,1167,18,1884
86,17,1167,18,1896
86,18,1167,18,1878
86,19,1167,18,1886
87,0,817,18,4042
87,1,857,18,4352
87,2,895,18,4739
87,3,930,18,4798
87,4,963,18,5166
87,5,993,18,5273
87,6,1021,18,5382
87,7,1047,18,5267
87,8,1070,18,5419
87,9,1090,18,5546
87,10,1109,18,5917
87,11,1124,18,6132
87,12,1138,18,6401
87,13,1157,18,6820
87,14,1163,18,6998
87,15,1166,18,7382
87,16,1167,18,7551
87,17,1167,18,7827
87,18,1167,18,8050
87,19,1167,18,8149
88,0,809,18,3237
88,1,848,18,4427
88,2,885,18,4548
88,3,920,18,4647
88,4,952,18,5676
88,5,983,18,7741
88,6,1010,18,10431
88,7,1036,18,12632
88,8,1060,18,13575
88,9,1081,18,14136
88,10,1099,18,14301
88,11,1152,18,14239
88,12,1159,18,14393
88,13,1164,18,14172
88,14,1166,18,14049
88,15,1167,18,14006
88,16,1167,18,14096
88,17,1167,18,14118
88,18,1167,18,14123
88,19,1167,18,13812
89,0,824,18,5383
89,1,862,18,5942
89,2,898,18,6190
89,3,932,18,6553
89,4,964,18,7202
89,5,993,18,7717
89,6,1045,18,7902
89,7,1067,18,7903
89,8,1088,18,8006
89,9,1106,18,8213
89,10,1121,18,8385
89,11,1135,18,8541
89,12,1165,18,9487
89,13,1165,18,10209
89,14,1167,18,10591
89,15,1167,18,10470
89,16,1167,18,10719
89,17,1167,18,10807
89,18,1167,18,11486
89,19,1167,18,11538
90,0,862,19,3497
90,1,899,19,3482
90,2,934,19,3339
90,3,966,19,4451
90,4,996,19,5344
90,5,1024,19,7363
90,6,1049,19,9332
90,7,1071,19,10466
90,8,1092,19,10598
90,9,1110,19,10343
90,10,1125,19,10815
90,11,1138,19,10750
90,12,1149,19,11331
90,13,1157,19,11419
90,14,1163,19,12308
90,15,1166,19,12350
90,16,1167,19,12855
90,17,1167,19,13091
90,18,1167,19,13210
90,19,1167,19,13146
91,0,803,19,7146
91,1,843,19,7374
91,2,916,19,7834
91,3,950,19,8239
91,4,980,19,8775
91,5,1009,19,9386
91,6,1035,19,9804
91,7,1059,19,10056
91,8,1080,19,10747
91,9,1099,19,10822
91,10,1116,19,10963
91,11,1130,19,11218
91,12,1142,19,11355
91,13,1152,19,11378
91,14,1159,19,11486
91,15,1164,19,11288
91,16,1166,19,11147
91,17,1167,19,10882
91,18,1167,19,11064
91,19,1167,19,10625
92,0,834,19,3368
92,1,871,19,2899
92,2,906,19,2332
92,3,939,19,1775
92,4,969,19,1428
92,5,998,19,1161
92,6,1024,19,961
92,7,1048,19,837
92,8,1070,19,774
92,9,1090,19,702
92,10,1107,19,658
92,11,1122,19,616
92,12,1135,19,596
92,13,1146,19,602
92,14,1155,19,602
92,15,1165,19,611
92,16,1167,19,605
92,17,1167,19,601
92,18,1167,19,585
92,19,1167,19,584
93,0,820,19,2344
93,1,859,19,2651
93,2,895,19,3696
93,3,929,19,5155
93,4,961,19,5965
93,5,991,19,7219
93,6,1043,19,7980
93,7,1066,19,7797
93,8,1086,19,7962
93,9,1104,19,8359
93,10,1120,19,9047
93,11,1134,19,10186
93,12,1145,19,11524
93,13,1154,19,12840
93,14,1160,19,13175
93,15,1165,19,13801
93,16,1167,19,14015
93,17,1167,19,14048
93,18,1167,19,13407
93,19,1167,19,13259
94,0,825,19,8040
94,1,863,19,8592
94,2,899,19,8431
94,3,933,19,8240
94,4,964,19,8188
94,5,994,19,8097
94,6,1021,19,8089
94,7,1106,19,8755
94,8,1106,19,9188
94,9,1121,19,9338
94,10,1161,19,9291
94,11,1165,19,9055
94,12,1167,19,9248
94,13,1167,19,9132
94,14,1167,19,9271
94,15,1167,19,9131
94,16,1167,19,8993
94,17,1167,19,9075
94,18,1167,19,9208
94,19,1167,19,8991
95,0,808,20,7623
95,1,848,20,8032
95,2,885,20,8477
95,3,920,20,8870
95,4,953,20,9649
95,5,984,20,10009
95,6,1012,20,10482
95,7,1038,20,10992
95,8,1061,20,11271
95,9,1082,20,11270
95,10,1101,20,11469
95,11,1118,20,11338
95,12,1143,20,11304
95,13,1153,20,11046
95,14,1160,20,11234
95,15,1165,20,11222
95,16,1167,20,11463
95,17,1167,20,11371
95,18,1167,20,11505
95,19,1167,20,11447
96,0,807,20,2646
96,1,848,20,2449
96,2,885,20,2187
96,3,954,20,1874
96,4,985,20,1686
96,5,1013,20,1330
96,6,1039,20,1132
96,7,1063,20,1026
96,8,1084,20,925
96,9,1103,20,859
96,10,1119,20,832
96,11,1133,20,905
96,12,1145,20,1066
96,13,1154,20,1307
96,14,1161,20,1612
96,15,1165,20,1895
96,16,1167,20,2087
96,17,1167,20,2282
96,18,1167,20,2535
96,19,1167,20,2615
97,0,805,20,6875
97,1,845,20,7203
97,2,882,20,7106
97,3,916,20,7077
97,4,949,20,7168
97,5,979,20,7086
97,6,1033,20,7221
97,7,1056,20,7156
97,8,1078,20,7298
97,9,1097,20,7277
97,10,1114,20,7337
97,11,1128,20,7699
97,12,1140,20,8000
97,13,1150,20,8122
97,14,1158,20,8084
97,15,1163,20,8249
97,16,1166,20,8278
97,17,1167,20,8170
97,18,1167,20,8006
97,19,1167,20,8198
98,0,822,20,3409
98,1,863,20,3840
98,2,900,20,4009
98,3,935,20,4236
98,4,968,20,4461
98,5,998,20,5108
98,6,1026,20,5641
98,7,1051,20,6112
98,8,1074,20,6676
98,9,1094,20,7300
98,10,1112,20,7744
98,11,1127,20,7965
98,12,1140,20,8362
98,13,1150,20,8791
98,14,1158,20,9249
98,15,1164,20,9577
98,16,1167,20,9429
98,17,1167,20,9797
98,18,1167,20,9814
98,19,1167,20,9922
99,0,831,20,12978
99,1,868,20,13577
99,2,903,20,13940
99,3,936,20,13570
99,4,967,20,13158
99,5,995,20,13221
99,6,1021,20,13279
99,7,1046,20,13494
99,8,1068,20,13498
99,9,1088,20,13665
99,10,1105,20,13304
99,11,1121,20,13479
99,12,1134,20,13151
99,13,1145,20,13524
99,14,1154,20,13608
99,15,1160,20,13225
99,16,1165,20,13655
99,17,1167,20,13799
99,18,1167,20,13658
99,19,1167,20,13304
100,0,837,21,8386
100,1,874,21,8710
100,2,909,21,8969
100,3,942,21,9726
100,4,973,21,10598
100,5,1002,21,11447
100,6,1028,21,12439
100,7,1052,21,12143
100,8,1074,21,12443
100,9,1111,21,12155
100,10,1126,21,12210
100,11,1138,21,12307
100,12,1149,21,12201
100,13,1157,21,11932
100,14,1162,21,12174
100,15,1166,21,11982
100,16,1167,21,11869
100,17,1167,21,12099
100,18,1167,21,11983
100,19,1167,21,12123
101,0,816,21,3394
101,1,895,21,3392
101,2,930,21,3544
101,3,964,21,3800
101,4,994,21,4201
101,5,1022,21,5161
101,6,1048,21,6426
101,7,1071,21,7870
101,8,1092,21,8612
101,9,1110,21,9319
101,10,1125,21,10931
101,11,1138,21,11175
101,12,1149,21,11313
101,13,1157,21,10892
101,14,1163,21,10985
101,15,1166,21,11118
101,16,1167,21,11193
101,17,1167,21,10839
101,18,1167,21,10904
101,19,1167,21,10901
102,0,824,21,6563
102,1,863,21,6968
102,2,900,21,7195
102,3,967,21,7272
102,4,997,21,7832
102,5,1025,21,7939
102,6,1050,21,8326
102,7,1072,21,8776
102,8,1093,21,9340
102,9,1110,21,9649
102,10,1126,21,9673
102,11,1139,21,9896
102,12,1149,21,9854
102,13,1157,21,10056
102,14,1163,21,10152
102,15,1166,21,10018
102,16,1167,21,9990
102,17,1167,21,10213
102,18,1167,21,10178
102,19,1167,21,9870
103,0,813,21,1833
103,1,851,21,1435
103,2,887,21,1180
103,3,921,21,1168
103,4,952,21,1206
103,5,982,21,1162
103,6,1009,21,1033
103,7,1034,21,922
103,8,1057,21,909
103,9,1078,21,993
103,10,1097,21,1071
103,11,1113,21,1069
103,12,1128,21,1136
103,13,1163,21,1328
103,14,1166,21,1442
103,15,1167,21,1533
103,16,1167,21,1574
103,17,1167,21,1546
103,18,1167,21,1575
103,19,1167,21,1534
104,0,837,21,4032
104,1,876,21,4043
104,2,913,21,3958
104,3,947,21,3969
104,4,978,21,4241
104,5,1007,21,4811
104,6,1034,21,5229
104,7,1058,21,5549
104,8,1080,21,5867
104,9,1099,21,5750
104,10,1116,21,5299
104,11,1131,21,4833
104,12,1143,21,4726
104,13,1153,21,4810
104,14,1160,21,5068
104,15,1164,21,5119
104,16,1167,21,5223
104,17,1167,21,5238
104,18,1167,21,5284
104,19,1167,21,5223
105,0,824,22,3060
105,1,902,22,2705
105,2,937,22,2463
105,3,969,22,2468
105,4,1000,22,2611
105,5,1027,22,3031
105,6,1052,22,3348
105,7,1075,22,3673
105,8,1095,22,3945
105,9,1113,22,4356
105,10,1128,22,4693
105,11,1141,22,5087
105,12,1151,22,5224
105,13,1158,22,5302
105,14,1164,22,5413
105,15,1166,22,5416
105,16,1167,22,5445
105,17,1167,22,5411
105,18,1167,22,5482
105,19,1167,22,5193
106,0,808,22,2802
106,1,848,22,2975
106,2,886,22,3089
106,3,922,22,3288
106,4,955,22,3661
106,5,986,22,4336
106,6,1014,22,5238
106,7,1040,22,5961
106,8,1064,22,6814
106,9,1085,22,7526
106,10,1104,22,8222
106,11,1120,22,8850
106,12,1134,22,9417
106,13,1146,22,9639
106,14,1161,22,9535
106,15,1165,22,9929
106,16,1167,22,10103
106,17,1167,22,10347
106,18,1167,22,9926
106,19,1167,22,10286
107,0,810,22,2008
107,1,849,22,1712
107,2,886,22,1446
107,3,921,22,1225
107,4,953,22,1154
107,5,983,22,1126
107,6,1011,22,1146
107,7,1037,22,1166
107,8,1060,22,1108
107,9,1081,22,1071
107,10,1100,22,987
107,11,1116,22,894
107,12,1130,22,798
107,13,1142,22,775
107,14,1152,22,700
107,15,1159,22,621
107,16,1164,22,566
107,17,1167,22,490
107,18,1167,22,455
107,19,1167,22,420
108,0,821,22,6050
108,1,860,22,6314
108,2,896,22,6616
108,3,962,22,7221
108,4,992,22,7604
108,5,1019,22,8019
108,6,1044,22,8336
108,7,1105,22,8862
108,8,1121,22,8874
108,9,1135,22,8756
108,10,1146,22,8928
108,11,1155,22,8961
108,12,1161,22,8961
108,13,1165,22,8957
108,14,1167,22,8822
108,15,1167,22,8814
108,16,1167,22,8924
108,17,1167,22,8441
108,18,1167,22,8352
108,19,1167,22,8230
109,0,827,22,1550
109,1,866,22,1694
109,2,903,22,2240
109,3,937,22,2644
109,4,969,22,3229
109,5,999,22,3924
109,6,1051,22,4643
109,7,1073,22,5025
109,8,1093,22,5563
109,9,1111,22,6013
109,10,1126,22,6457
109,11,1163,22,8318
109,12,1163,22,9003
109,13,1166,22,9769
109,14,1167,22,10424
109,15,1167,22,10985
109,16,1167,22,11071
109,17,1167,22,10981
109,18,1167,22,11331
109,19,1167,22,10973
110,0,807,23,4442
110,1,848,23,4868
110,2,886,23,5219
110,3,922,23,5750
110,4,956,23,6615
110,5,986,23,7260
110,6,1015,23,7805
110,7,1041,23,8523
110,8,1121,23,9555
110,9,1121,23,9877
110,10,1135,23,10275
110,11,1155,23,10287
110,12,1161,23,10000
110,13,1165,23,10101
110,14,1167,23,10044
110,15,1167,23,10189
110,16,1167,23,10018
110,17,1167,23,9988
110,18,1167,23,10053
110,19,1167,23,10127
111,0,824,23,2156
111,1,902,23,2095
111,2,937,23,2169
111,3,970,23,2491
111,4,1000,23,2712
111,5,1028,23,2891
111,6,1053,23,2980
111,7,1076,23,3397
111,8,1096,23,4237
111,9,1113,23,5657
111,10,1128,23,6305
111,11,1141,23,6807
111,12,1151,23,8195
111,13,1159,23,8889
111,14,1164,23,9108
111,15,1166,23,9235
111,16,1167,23,9027
111,17,1167,23,8797
111,18,1167,23,8751
111,19,1167,23,8776
112,0,833,23,4091
112,1,907,23,4645
112,2,940,23,4969
112,3,972,23,5189
112,4,1001,23,5231
112,5,1027,23,5303
112,6,1052,23,5709
112,7,1074,23,6053
112,8,1093,23,6508
112,9,1111,23,7174
112,10,1126,23,7611
112,11,1138,23,7845
112,12,1149,23,8069
112,13,1157,23,8245
112,14,1162,23,8340
112,15,1166,23,8359
112,16,1167,23,8220
112,17,1167,23,8287
112,18,1167,23,8159
112,19,1167,23,8139
113,0,828,23,3427
113,1,868,23,3350
113,2,905,23,3375
113,3,939,23,3371
113,4,972,23,3576
113,5,1001,23,3792
113,6,1029,23,3986
113,7,1054,23,4261
113,8,1076,23,4592
113,9,1096,23,4789
113,10,1113,23,4703
113,11,1129,23,4406
113,12,1141,23,4155
113,13,1151,23,3835
113,14,1159,23,3593
113,15,1164,23,3366
113,16,1167,23,3215
113,17,1167,23,3225
113,18,1167,23,3054
113,19,1167,23,3019
114,0,806,23,7557
114,1,846,23,8099
114,2,883,23,8365
114,3,918,23,8651
114,4,950,23,8893
114,5,981,23,9255
114,6,1009,23,9781
114,7,1035,23,10162
114,8,1058,23,10250
114,9,1079,23,10441
114,10,1098,23,10671
114,11,1115,23,10931
114,12,1129,23,10928
114,13,1141,23,11010
114,14,1151,23,10812
114,15,1159,23,10781
114,16,1164,23,10847
114,17,1166,23,10895
114,18,1167,23,10911
114,19,1167,23,10447
115,0,805,24,7252
115,1,846,24,7943
115,2,883,24,8293
115,3,919,24,8535
115,4,952,24,8423
115,5,1011,24,8579
115,6,1037,24,8974
115,7,1060,24,9057
115,8,1082,24,9063
115,9,1101,24,8907
115,10,1143,24,8741
115,11,1153,24,8745
115,12,1160,24,8649
115,13,1165,24,8294
115,14,1167,24,8642
115,15,1167,24,8491
115,16,1167,24,8453
115,17,1167,24,8394
115,18,1167,24,8467
115,19,1167,24,8439
116,0,879,24,1907
116,1,915,24,1974
116,2,949,24,1959
116,3,981,24,2053
116,4,1010,24,2176
116,5,1036,24,2281
116,6,1060,24,2345
116,7,1082,24,2451
116,8,1101,24,2519
116,9,1118,24,2736
116,10,1132,24,2876
116,11,1144,24,2993
116,12,1154,24,3229
116,13,1161,24,3442
116,14,1165,24,3697
116,15,1167,24,3978
116,16,1167,24,4047
116,17,1167,24,4120
116,18,1167,24,4160
116,19,1167,24,4217
117,0,821,24,3150
117,1,859,24,3394
117,2,894,24,3839
117,3,928,24,4245
117,4,959,24,4699
117,5,988,24,5457
117,6,1015,24,6347
117,7,1063,24,7138
117,8,1083,24,8075
117,9,1101,24,8535
117,10,1117,24,9116
117,11,1131,24,9454
117,12,1142,24,9659
117,13,1152,24,9637
117,14,1159,24,9774
117,15,1164,24,9768
117,16,1166,24,9412
117,17,1167,24,9241
117,18,1167,24,9347
117,19,1167,24,9146
118,0,802,24,5360
118,1,842,24,5747
118,2,879,24,5862
118,3,913,24,6188
118,4,946,24,6520
118,5,976,24,6964
118,6,1004,24,7433
118,7,1030,24,7528
118,8,1054,24,7550
118,9,1126,24,7887
118,10,1139,24,7970
118,11,1149,24,8004
118,12,1157,24,7938
118,13,1162,24,8147
118,14,1166,24,8206
118,15,1167,24,8056
118,16,1167,24,7973
118,17,1167,24,7740
118,18,1167,24,7763
118,19,1167,24,7482
119,0,817,24,933
119,1,856,24,837
119,2,892,24,768
119,3,926,24,717
119,4,958,24,727
119,5,988,24,768
119,6,1016,24,819
119,7,1041,24,818
119,8,1064,24,805
119,9,1084,24,836
119,10,1102,24,903
119,11,1118,24,959
119,12,1132,24,1043
119,13,1144,24,1182
119,14,1153,24,1266
119,15,1160,24,1419
119,16,1167,24,1577
119,17,1167,24,1653
119,18,1167,24,1797
119,19,1167,24,1955
120,0,808,25,3223
120,1,848,25,3502
120,2,887,25,4015
